	W	Reject null hypothesis
4b5eeb300368260019c1fbc7a3c718fc	161	True
868528ca947bc57b69ffdf83e6b73bae	156	True
cdd14cce4ec44b3235923652b71e947e	133	False
9118606a87ac19f8d041da20f16f3236	55	False
ab6b063ed43d8cb3008e157a0a305c47	52	False
b3d4d129c955517b446df657236ba5a2	31	False
7a5d5e6f85da7ca91daa2d803e8f9279	30	False
880968796af86b3d6270c228fe8e7026	30	False
a5551fc60aa8bbaab737487552ea2a75	23	False
80b20e907aa4fcf2309796bc303d151d	19	False
d3e265209c342d15d93a910e38ad9be2	14	False
2b148d88c49e316f85b6e7863089a886	14	False
2fa276cce32e900f0f68d30e460b8f61	13	False
1f0a072da4906270a684a389c1586582	12	False
66a605fcdaa020dbdd6136f241ea79d9	11	False
41fedaa9200e2933821f84ecdc0b0772	10	False
a4c08e2c3a34038ea877b16d01736837	10	False
3add7df323955b22d1cea664ef38165d	10	False
fc15824cd9e9c29e1319d32843452b54	10	False
d781fa7e866ac295ce9a56bd97912983	10	False
154709e160e8cada6bfb21115acc80f5	10	False
d86ef5d6394f5dbeb945f39aa25e7426	9	False
02ef9a59d6da8b642271166d3ffd1b52	9	False
052128d7d424728578efe7852b0afd0d	9	False
ae881162d813e498f40bf33b8e42d54a	8	False
5437cb1c86c72638cbbc12896f88d1b1	8	False
1395953fab837ed426f9b2ba24da41b1	8	False
b383ade799e9c83c649cec37705a251d	8	False
aee707afe3847427a6d3d34e31437923	8	False
fb4f7d9d3f91ac2f22a542fbd13019c1	8	False
21a0198d0a83a8f3ec0e401067138940	8	False
997056ba80681bbbdd5d09aa591eadc0	8	False
94ca1389331a3a9230237844cfd545f6	8	False
393e6e2cbe258ed27a4ca0a2ee0d2cdc	8	False
54b4964000ad1631e547c46a828ed1a0	7	False
84755bc954af6d3b39bb4c369e5992e7	7	False
535696cecf56f03d3401d7d6dbe66d7b	7	False
29a92aecac56c855cbfc0debf9bda0c8	7	False
8659c05e82a2d1399cbc3fd26ab938e4	7	False
06c3b8c72269d783e9d96b6e71d7469d	7	False
f4eefbd4edf2a372131825289fffcca6	7	False
cb2fe0146e2fbcb101050edb996a0ee2	7	False
bb370945a6777f712cfd963c55f2ff54	6	False
cbb7ea319a7633cf0917c6e5cde0e923	6	False
48eda83fda558aea8fdd32b9c8dfff98	6	False
047b7fb62a5e9d2711e639ae1cb1519a	6	False
fe30ff0f71a38a39cf1717ec2be3a2fc	6	False
d29fe3c70564fc0f69f2c03e0d1e5561	6	False
55937e5781c91185e27a91216008e4ca	6	False
201b6484b6abe3d4c587464be6cbd574	6	False
f0e16b2961cac3985938413cea00eb14	6	False
dd29d5734196dc92232bafc6fef0c2a1	6	False
491ef1635067f62c395bdffd58966092	6	False
3bf2fc236887eda11c969b84d30f9fbf	6	False
f66effc279917d65747b7c3ef8d62432	6	False
816b94bcd935ca38afe71fd1e3c5356c	6	False
8c001c89f020a1b78b26ee21d1d56746	5	False
acfe4c003905a7074aeaf385b78ad9e0	5	False
7c32a71dc5ccf3ba4fa0a681006cfef1	5	False
1ea96d595539133266a3dbd49daac1e4	5	False
0305a4993ecf2d8ef4149fdfc7592603	5	False
32875774cffdc8c820f91d8e86f9a0e6	5	False
8163d49042bbad8871a7aab8527c9a97	5	False
4b8228f4d7d3809aa6827e8d9e11a9ae	5	False
b0ca0d2568c23c26c6704017eae471e1	5	False
fea5c05e9b8245c5ca46f6673f59e0bf	5	False
f5a8a3c7e17b300cd9ed30a6321df5cc	5	False
a841dd7e2f38b26bb7bb37179b4141d5	4	False
145f11599b92ad3a4c93896b0edf8c0c	4	False
5df503c1ddf8f3f4ac9e49e983e3d7fd	4	False
fcd4f95c05b868060121ff709085bf21	4	False
40f48a770b506ce189149c8976e24d78	4	False
3982159c2603cacc4bc4893003bda323	4	False
51757b1a0a985640893725af5d87d350	4	False
fbf110ef5de76f86121c8504a0cb786e	4	False
d8db52dac1023a8fa0e56e92670d7ac1	4	False
7e4d5b19d3213719048fe55dfad0da3a	4	False
ee7ce85e38500b28d9d79b63c7fbf9a6	4	False
74c2326ccd0bc2bd9e0f23f15b79ea16	4	False
0d7b78d297d61ed4c2cb4df47c5e7ecd	4	False
e7c8b8c8fced8eead4b767bffe6dd544	4	False
1893b0ad352ee7db0f565bc4594e6dc6	3	False
0741ae033054073fece98b9948ec4387	3	False
1a8d25f7529d783a219ef689701dd4e2	3	False
bfbed36e63b69fec4627424163d20118	3	False
d51cd90e95b57acb614698dc580759fb	3	False
8f0a7d866b4e5ebf1e34d0a44eb950a4	3	False
ff3de737f93b5a25f8a7f3d46e811825	3	False
3b795f0122b28b0e6a07bec73894acee	3	False
3b65e1db6742cc44493248fff266f564	3	False
e2f0caba18b002ca9762ed56167c6188	3	False
0f55566622d8244073432b2e67b24baa	3	False
9c6b4f83513e63a49ce33a8aeb1813ad	3	False
1d2e5f3444ca750c85302ceee2473331	3	False
